Word 1,Word 2,Human Score,Similarity (CBOW),Similarity (SkipGram),Similarity (SVD)
delay,news,1.4375,0.12629252672195435,0.1411343812942505,0.06628476828336716
delay,racism,0.875,,,
deployment,departure,5.5,,,
deployment,withdrawal,3.5,,,
development,issue,3.3125,-0.03513222932815552,0.15680129826068878,0.07753594219684601
direction,combination,2.0625,-0.021506166085600853,0.03650303930044174,0.03404504805803299
disability,death,2.3125,-0.0010357010178267956,0.21540991961956024,-0.01874750480055809
disaster,area,1.625,0.06551670283079147,0.15413738787174225,0.026533417403697968
discovery,space,3.9375,-0.09590410441160202,0.15223725140094757,0.03758229687809944
dividend,calculation,5.1875,0.09837693721055984,0.31892579793930054,-0.08256078511476517
dividend,payment,5.5,0.19284479320049286,0.41804641485214233,0.07468527555465698
doctor,liability,2.5,0.07852350175380707,0.22932472825050354,0.004154093097895384
doctor,nurse,6.125,0.17178283631801605,0.29078736901283264,0.04968855157494545
doctor,personnel,3.5625,0.035432249307632446,0.204953134059906,0.006786322221159935
dollar,buck,8.5625,0.08603806048631668,0.22296181321144104,-0.03337288647890091
dollar,loss,2.1875,0.03180253133177757,0.1853318065404892,0.05720185488462448
dollar,profit,5.375,0.08486973494291306,0.22082115709781647,0.10527631640434265
dollar,yen,6.3125,,,
drink,car,0.3125,0.0915813148021698,0.21998311579227448,0.11657215654850006
drink,ear,0.375,0.20646768808364868,0.2064492553472519,0.20660261809825897
drink,eat,4.125,0.20084086060523987,0.3195362091064453,0.12006700783967972
drink,mother,0.5625,0.15797337889671326,0.2682780623435974,0.1219305545091629
drink,mouth,4.7375,0.07746462523937225,0.24085435271263123,0.06533300876617432
drug,abuse,4.9375,0.04753885045647621,0.24101237952709198,0.05196814984083176
energy,crisis,3.0505,0.018863704055547714,0.1679319590330124,-0.04557237774133682
energy,laboratory,2.7565,0.018796108663082123,0.16770727932453156,0.085948646068573
energy,secretary,1.0625,0.010954898782074451,0.1995304375886917,0.06421732157468796
environment,ecology,7.1875,,,
equipment,maker,2.5625,0.2195121794939041,0.37144654989242554,0.21748025715351105
exhibit,memorabilia,4.625,,,
experience,music,2.3125,0.0016076765023171902,0.13421139121055603,-0.006253115367144346
family,planning,1.75,-0.01418071798980236,0.20731937885284424,0.05567893758416176
FBI,fingerprint,4.0625,0.043899085372686386,0.3847965598106384,0.04826518893241882
FBI,investigation,5.0625,0.10638595372438431,0.28765207529067993,0.06041093170642853
fertility,egg,5.1875,0.1423054188489914,0.2561986744403839,-0.012785092927515507
fighting,defeating,5.5,,,
five,month,1.069,0.012845376506447792,0.1820124387741089,0.008685009554028511
focus,life,2.3125,0.07531588524580002,0.2067883312702179,0.037607260048389435
food,fruit,7.0625,0.051983729004859924,0.16150830686092377,0.13443058729171753
food,preparation,3.75,-0.011545665562152863,0.210262268781662,0.17938534915447235
food,rooster,2.5625,,,
football,basketball,4.125,0.42213472723960876,0.5365778803825378,0.33518728613853455
football,soccer,8.5625,,,
football,tennis,3.6875,0.11697542667388916,0.29457882046699524,0.3375302255153656
forest,graveyard,1.394,0.04969141259789467,0.2455117404460907,-0.009015108458697796
fuck,sex,8.25,,,
furnace,stove,8.0625,0.09929771721363068,0.298839807510376,-0.019510721787810326
game,defeat,3.6875,0.014123311266303062,0.23767335712909698,0.03613396733999252
game,round,5.1875,0.12449365854263306,0.21280403435230255,0.09697797894477844
game,series,4.5625,0.23547962307929993,0.2858593761920929,0.3077579140663147
game,team,4.625,0.020198797807097435,0.18232162296772003,0.21955955028533936
game,victory,4.6875,0.11170537769794464,0.3171377182006836,0.22184063494205475
gem,jewel,8.375,,,
gender,equality,3.4375,,,
glass,magician,1.0,,,
glass,metal,2.1875,0.24050372838974,0.3042595088481903,0.23162506520748138
government,crisis,3.625,-0.0780446007847786,0.15744410455226898,0.05279072746634483
governor,interview,1.625,0.010604540817439556,0.11798973381519318,0.011430468410253525
governor,office,4.3125,0.09778191894292831,0.22185231745243073,-0.017105335369706154
grocery,money,3.375,0.02291121333837509,0.20147539675235748,0.00048540488933213055
Harvard,Yale,4.875,0.44375354051589966,0.46451762318611145,0.3343808054924011
holy,sex,1.069,-0.002573777688667178,0.1269221305847168,0.02791954018175602
hospital,infrastructure,3.3125,,,
hotel,reservation,5.0625,0.058827705681324005,0.20972947776317596,0.08706271648406982
hundred,percent,4.4375,0.15071146190166473,0.28975459933280945,0.14155736565589905
image,surface,1.8125,0.08108974248170853,0.23578457534313202,0.10233799368143082
impartiality,interest,1.875,,,
investigation,effort,3.75,-0.022801995277404785,0.05301683023571968,0.10985013097524643
investor,earning,5.0625,,,
jaguar,car,5.3125,0.24252519011497498,0.41213175654411316,0.11815673857927322
jaguar,cat,6.4375,0.11153017729520798,0.32710546255111694,0.05547845736145973
Japanese,American,3.125,0.05774815008044243,0.2554158568382263,0.11789041757583618
Jerusalem,Israel,6.4375,0.07052694261074066,0.31161344051361084,0.18126222491264343
Jerusalem,Palestinian,4.5,,,
journal,association,2.625,0.13853900134563446,0.21432164311408997,0.10737001150846481
journey,car,4.0625,0.01978241465985775,0.1990102082490921,-0.0020659309811890125
journey,voyage,7.5,0.139689639210701,0.31874895095825195,0.15771692991256714
king,cabbage,0.625,,,
king,queen,5.6875,0.26069632172584534,0.31557080149650574,0.1267598271369934
king,rook,3.125,,,
lad,brother,4.9375,0.11817055940628052,0.29006877541542053,0.14665378630161285
lad,wizard,1.6875,,,
law,lawyer,6.1875,0.14219287037849426,0.20852796733379364,0.06641512364149094
lawyer,evidence,3.9375,0.0390559621155262,0.14825963973999023,0.07273444533348083
liability,insurance,4.375,0.30590930581092834,0.43444573879241943,0.2883601188659668
life,death,4.375,0.17427673935890198,0.2541767358779907,0.1429562270641327
life,lesson,3.1875,0.11984395235776901,0.15233226120471954,0.05985631048679352
life,term,3.8125,-0.06364522874355316,0.07528533786535263,0.055397164076566696
line,insurance,1.3125,0.01805855706334114,0.04263700172305107,-0.05124220252037048
liquid,water,7.0625,0.1402684897184372,0.22823704779148102,0.16771367192268372
listing,category,5.375,0.0029484385158866644,0.22041094303131104,0.06525904685258865
listing,proximity,1.4375,0.042312975972890854,0.26001298427581787,0.010845617391169071
lobster,food,5.75,,,
lobster,wine,2.375,,,
love,sex,6.375,0.07575811445713043,0.19275054335594177,0.06619579344987869
lover,quarrel,1.6875,0.032750390470027924,0.24730324745178223,0.07979229837656021
luxury,car,3.3125,0.0765208899974823,0.24363559484481812,0.11025100201368332
magician,wizard,7.6875,,,
man,governor,4.25,0.02867884188890457,0.17906123399734497,0.02507798559963703
man,woman,4.5,0.2941855490207672,0.353228360414505,0.5695868730545044
Maradona,football,5.375,,,
marathon,sprint,4.9375,,,
Mars,scientist,4.375,-0.011510868556797504,0.25262197852134705,-0.026829514652490616
Mars,water,1.5625,-0.01936350390315056,0.21283704042434692,0.14946123957633972
media,gain,1.375,0.0918518677353859,0.2567251920700073,-0.022037778049707413
media,radio,6.4375,0.08890533447265625,0.29723650217056274,0.01513591781258583
media,trading,1.8125,0.08292977511882782,0.31365376710891724,0.12478575110435486
Mexico,Brazil,3.9375,0.12828044593334198,0.1278136521577835,0.03573383018374443
midday,noon,8.9375,0.03110077977180481,0.23782047629356384,-0.043758541345596313
mile,kilometer,6.9375,0.15419457852840424,0.29654359817504883,0.3224552273750305
minister,party,3.0625,0.12166379392147064,0.12924040853977203,0.05403773859143257
ministry,culture,2.844,0.04783858731389046,0.2183065414428711,0.009541651234030724
minority,peace,1.1875,-0.00975800771266222,0.14391273260116577,-0.02293897233903408
money,bank,6.0,-0.013188145123422146,0.1540316939353943,0.03604888170957565
money,cash,8.875,0.24731884896755219,0.292371541261673,0.1357404738664627
money,cash,9.0315,0.24731884896755219,0.292371541261673,0.1357404738664627
money,currency,7.9375,0.051519256085157394,0.1728571206331253,0.10142430663108826
money,deposit,5.375,0.023471450433135033,0.16702549159526825,0.017043231055140495
money,dollar,7.6875,0.14311626553535461,0.31172892451286316,0.1267244517803192
money,laundering,4.4565,0.013945875689387321,0.20285338163375854,0.011556762270629406
money,operation,1.875,0.14417845010757446,0.22954463958740234,0.12225233763456345
money,possession,4.3125,0.031768813729286194,0.2053559273481369,-0.01866910792887211
money,property,5.0625,0.13120205700397491,0.243817999958992,0.08014199882745743
money,wealth,7.0625,0.07890091836452484,0.14407719671726227,0.035450901836156845
money,withdrawal,4.0625,0.04489617422223091,0.18823935091495514,0.09504726529121399
monk,oracle,2.5625,,,
monk,slave,2.5625,0.0148159833624959,0.2943636476993561,-0.11711437255144119
month,hotel,1.0625,-0.0010181728284806013,0.21092665195465088,-0.010703998617827892
morality,importance,2.5,0.014376471750438213,0.13982105255126953,0.10392072051763535
morality,marriage,2.375,-0.02848360314965248,0.0971979945898056,0.022727852687239647
movie,critic,3.1875,0.12204059213399887,0.24131937325000763,0.02574852854013443
movie,popcorn,3.875,,,
movie,star,4.3125,0.2946053743362427,0.40561458468437195,0.15965551137924194
movie,theater,6.125,0.3067740797996521,0.4027941823005676,0.11338919401168823
murder,manslaughter,7.5,,,
museum,theater,3.875,-0.0009336872026324272,0.2048220932483673,0.11439262330532074
music,project,3.1875,0.0066289412789046764,0.18841536343097687,-0.011413739062845707
nature,environment,6.9375,0.1637018471956253,0.214559867978096,0.08642241358757019
nature,man,2.9375,0.23503367602825165,0.17447218298912048,0.0875534638762474
network,hardware,3.8125,0.16539114713668823,0.2689485549926758,0.052564796060323715
news,report,6.8125,0.1694222092628479,0.24864953756332397,0.23111878335475922
noon,string,0.6875,0.06342649459838867,0.21368449926376343,-0.003404684364795685
observation,architecture,1.875,0.023086795583367348,0.25162240862846375,0.08859334886074066
oil,stock,2.9375,0.05866360291838646,0.17588692903518677,0.12872618436813354
OPEC,country,3.6875,,,
OPEC,oil,5.5625,,,
opera,industry,1.194,0.015841253101825714,0.15535394847393036,-0.010170836001634598
opera,performance,4.875,0.06997217983007431,0.33119744062423706,0.07094073295593262
peace,atmosphere,2.1875,0.13053083419799805,0.17266106605529785,0.004755182191729546
peace,insurance,1.7565,0.036655984818935394,0.09484546631574631,0.00723418639972806
peace,plan,1.5,0.08691590279340744,0.16507820785045624,0.04687180742621422
phone,equipment,4.0315,0.04230375960469246,0.14000080525875092,-0.033162735402584076
physics,chemistry,5.0625,0.24247999489307404,0.3667781949043274,0.15030184388160706
physics,proton,6.125,,,
plane,car,3.5625,0.03749626502394676,0.19106385111808777,0.10459581762552261
planet,astronomer,5.4375,,,
planet,constellation,4.3125,,,
planet,galaxy,6.125,,,
planet,moon,6.0,0.14194835722446442,0.27025625109672546,0.1820254623889923
planet,people,3.375,0.02428285777568817,0.14893671870231628,-0.008255265653133392
planet,space,5.3125,0.1148746982216835,0.21071694791316986,0.04782862588763237
planet,star,5.625,0.02850991301238537,0.25599247217178345,0.04658631235361099
planet,sun,5.8125,0.1473914384841919,0.3012494146823883,0.08828146010637283
population,development,3.4755,-0.002658494748175144,0.1556725949048996,0.09513062238693237
possibility,girl,1.069,-0.021038321778178215,0.11387427151203156,0.10202424228191376
practice,institution,3.5625,0.03985881060361862,0.14157222211360931,-0.021804697811603546
precedent,antecedent,4.0,,,
precedent,cognition,2.0,,,
precedent,collection,1.0625,0.009792512282729149,0.24169717729091644,0.12004431337118149
precedent,example,5.4375,0.07187216728925705,0.2560727298259735,0.29737338423728943
precedent,group,1.5625,0.051657143980264664,0.18136624991893768,0.12617653608322144
precedent,information,2.375,0.012613918632268906,0.21364855766296387,0.042797911912202835
precedent,law,4.375,0.058608803898096085,0.22813214361667633,-0.057937853038311005
prejudice,recognition,3.3125,0.011842655017971992,0.16353648900985718,-0.05449378490447998
preservation,world,2.4375,0.04975283890962601,0.16062664985656738,0.0766228660941124
president,medal,1.25,0.09632167965173721,0.2077713906764984,0.016096998006105423
problem,airport,1.3125,0.009112494997680187,0.21094092726707458,-0.030634772032499313
problem,challenge,6.875,0.050612568855285645,0.1996595710515976,0.174699604511261
production,crew,3.1875,0.09284711629152298,0.15040594339370728,0.004542867187410593
production,hike,0.9375,,,
professor,cucumber,0.3125,,,
professor,doctor,6.125,0.03777991607785225,0.22641225159168243,0.04208824038505554
profit,loss,3.875,0.24298259615898132,0.3367382287979126,0.11371927708387375
profit,warning,1.6875,-0.0609000138938427,0.15005674958229065,-0.010823859833180904
psychology,anxiety,3.75,0.032982196658849716,0.2096238136291504,-0.03440960869193077
psychology,clinic,4.344,,,
psychology,cognition,4.0,,,
psychology,depression,5.25,0.10716469585895538,0.12593509256839752,-0.005868514999747276
psychology,discipline,3.3125,0.08262985199689865,0.2056901454925537,0.045559417456388474
psychology,doctor,5.294,0.00038057196070440114,0.23491379618644714,0.03848492354154587
psychology,fear,3.1875,0.03107668273150921,0.1559937745332718,0.07752050459384918
psychology,Freud,5.6875,0.04137679934501648,0.24235719442367554,0.03566792979836464
psychology,health,4.3625,0.12841501832008362,0.14692918956279755,-0.03328412026166916
psychology,mind,5.4375,0.00784436147660017,0.17351576685905457,-0.006071027368307114
psychology,psychiatry,6.9375,,,
psychology,science,5.9505,0.05592123046517372,0.23399831354618073,0.26480308175086975
reason,criterion,4.625,0.15096555650234222,0.1347993165254593,0.07289024442434311
reason,hypertension,0.875,,,
record,number,3.5,-0.06340652704238892,0.09767773747444153,0.06529494374990463
registration,arrangement,3.4375,0.022861475124955177,0.2135380357503891,-0.04220442473888397
report,gain,2.25,0.09580663591623306,0.1518658846616745,0.03308530151844025
rock,jazz,5.5,-0.053808387368917465,0.17229244112968445,0.025149349123239517
rooster,voyage,0.9375,,,
school,center,3.875,0.02286008931696415,0.12815184891223907,0.05479798465967178
seafood,food,6.875,,,
seafood,lobster,6.9375,,,
seafood,sea,5.375,,,
secretary,senate,3.75,0.1674700379371643,0.3019106686115265,0.16205663979053497
seven,series,2.25,0.07778830081224442,0.17559902369976044,0.020831545814871788
shore,woodland,1.625,,,
shower,flood,3.5625,0.003211607923731208,0.22832617163658142,0.020258232951164246
shower,thunderstorm,4.0,,,
sign,recess,1.5065,,,
situation,conclusion,3.5625,0.21802352368831635,0.25129544734954834,0.20762844383716583
situation,isolation,1.9375,0.10605015605688095,0.23358052968978882,0.021911578252911568
size,prominence,3.75,0.0444880835711956,0.20099958777427673,0.04054354131221771
skin,eye,2.75,0.0829341858625412,0.22892780601978302,0.01053436566144228
smart,student,3.625,0.01904786191880703,0.17473889887332916,0.04418354481458664
smart,stupid,3.25,0.08303625881671906,0.3424586355686188,0.061931729316711426
soap,opera,3.5625,0.18501509726047516,0.3456006348133087,-0.006048465147614479
space,chemistry,1.8875,0.03921547159552574,0.22954845428466797,0.0417172908782959
space,world,4.9375,0.12248662859201431,0.18383444845676422,0.07874701172113419
start,match,2.5,0.0930907130241394,0.16924667358398438,0.049224309623241425
start,year,1.625,0.09678053110837936,0.26429271697998047,0.08750181645154953
stock,CD,2.4375,0.04263126105070114,0.12985996901988983,0.06620249152183533
stock,egg,1.4375,-0.021939970552921295,0.1695917546749115,-0.0524236336350441
stock,jaguar,0.9375,0.05908537656068802,0.14372849464416504,0.04785415902733803
stock,life,1.8125,-0.08534803986549377,0.09548074752092361,0.046936992555856705
stock,live,1.875,-0.07177149504423141,0.09005878865718842,-0.06593126058578491
stock,market,4.875,0.2623380124568939,0.34295833110809326,0.4020463526248932
stock,phone,0.75,0.05229998752474785,0.17767234146595,0.0018009465420618653
street,avenue,7.6875,0.3000761866569519,0.43151217699050903,0.29244574904441833
street,block,6.5625,0.30587077140808105,0.360150545835495,0.24986675381660461
street,children,1.294,0.006912179756909609,0.1278170347213745,0.03907327353954315
street,place,4.5,0.1003992035984993,0.2092500478029251,0.08513251692056656
stroke,hospital,3.625,0.04281367361545563,0.1251191943883896,0.026880180463194847
student,professor,4.9375,0.16168521344661713,0.28780150413513184,0.28703686594963074
sugar,approach,0.9375,-0.005774610675871372,0.21339201927185059,0.06394924968481064
summer,drought,3.3125,0.09910871088504791,0.3044065833091736,0.053044937551021576
summer,nature,4.0,-0.044503793120384216,0.12051684409379959,-0.03323236480355263
telephone,communication,6.6875,-0.005243360064923763,0.14836496114730835,0.09260226041078568
television,film,5.75,0.08786947280168533,0.27074873447418213,0.03887511044740677
television,radio,4.625,0.19097712635993958,0.3305928409099579,0.16610665619373322
tennis,racket,5.0,0.1006050780415535,0.3850044310092926,-0.035107821226119995
territory,kilometer,2.1875,0.15308651328086853,0.3337467312812805,-0.04476587101817131
territory,surface,3.594,0.10473328828811646,0.21012094616889954,0.006771736312657595
theater,history,1.9375,-0.04517889767885208,0.1668344885110855,0.0313224196434021
tiger,animal,6.9375,0.22785881161689758,0.37259945273399353,-0.044776517897844315
tiger,carnivore,6.0,,,
tiger,cat,6.75,0.05582333728671074,0.21724212169647217,0.08469771593809128
tiger,fauna,3.4375,,,
tiger,feline,5.0625,,,
tiger,jaguar,5.75,0.1436661332845688,0.28573307394981384,-0.0029593512881547213
tiger,mammal,6.25,,,
tiger,organism,3.0625,0.19571954011917114,0.29572856426239014,0.2802772521972656
tiger,tiger,10.0,1.0000001192092896,0.9999998211860657,0.9999998807907104
tiger,zoo,4.9375,0.10717552900314331,0.2873701751232147,0.16651728749275208
tool,implement,5.3125,,,
train,car,3.5,0.154568150639534,0.36858969926834106,0.08833722025156021
travel,activity,4.1875,0.06045570224523544,0.1928693801164627,0.0715775117278099
treatment,recovery,5.3125,0.01889776811003685,0.14093267917633057,0.09627672284841537
type,kind,8.4375,-0.009470134973526001,0.18775279819965363,0.28801628947257996
victim,emergency,2.6875,0.0385938361287117,0.25798940658569336,0.03418181836605072
video,archive,3.4375,,,
viewer,serial,2.5625,,,
vodka,brandy,6.25,,,
vodka,gin,6.0625,,,
volunteer,motto,1.3815,,,
war,troops,6.375,0.03490106016397476,0.26008617877960205,0.023306267336010933
water,seepage,3.875,,,
weapon,secret,2.5,0.02372387982904911,0.17161782085895538,0.0341499000787735
weather,forecast,5.4375,0.032958973199129105,0.14203979074954987,-0.06002930551767349
Wednesday,news,1.125,0.2012542337179184,0.25970491766929626,0.11360979825258255
wood,forest,7.9375,0.03079613298177719,0.15174582600593567,0.05821484327316284
word,similarity,0.8125,0.009761217050254345,0.2108863741159439,0.04826030507683754
